raw_text,merchant,category
VPA paytm.ms2zge2@pthdfc BLINKIT,Blinkit,Groceries
VPA paytm.kkvqywj8@pty MUTUAL FUNDS ICCL,Mutual Funds ICCL,Investment
VPA netflix@axl Netflix,Netflix,Subscription
VPA paytm.ze5iz31y@paytm Haldirams,Haldirams,Food
VPA vikramjosh076@axl Mrs VIKRAM GAFUR JOSHI,VIKRAM GAFUR JOSHI,Transfer
VPA paytmqr0lxjrjz@pthdfc Unacademy,Unacademy,Education
VPA paytmqr6xsyql@paytm Ola,Ola,Transport
VPA paytm.tc8wquuy@ptybl Mcdonalds,McDonalds,Food
VPA paytmqr2fehwa@ptybl Zepto,Zepto,Groceries
VPA phonepe-7132475469@okicici DMART,DMart,Groceries
VPA th4149169ypt@okaxis Ms PALLAVI PRASAD NAIR,PALLAVI PRASAD NAIR,Transfer
VPA bharatpe.j174wyags1kwqjl8@fbpe Dr SACHIN SINGH,SACHIN SINGH,Transfer
VPA 9465796784@okbizaxis Spicejet,SpiceJet,Transport
VPA 9606530745@axl DMART,DMart,Groceries
VPA paytmqr2ivre@ptybl ICICI Prudential,ICICI Prudential,Investment
VPA paytm.gxg48ra@ptys GROWW,Groww,Investment
VPA paytmqr9oktwnb@paytm WATER BILL,Water Bill,Utilities
VPA paytm.u2z7nuxf@ptys WATER BILL,Water Bill,Utilities
VPA ritu03@okicici Ms RITU SINGH MALHOTRA,RITU SINGH MALHOTRA,Transfer
VPA 6239453546@sbi PHONEPE,PhonePe,Payments
VPA paytm.gm2ec8ra@ptybl MYNTRA,Myntra,Shopping
VPA 0682778816@icici Apple Media Services,Apple Media Services,Subscription
VPA gpay-4817766558@hdfcbank 1MG,1mg,Health
VPA paytmqr0ngnh@pty CRED,CRED,Payments
VPA kj1237407mgg@oksbi Dr NEHA JAIN,NEHA JAIN,Transfer
VPA vivodafone.etqo@okaxis Vi Vodafone,Vi Vodafone,Utilities
VPA jio.17390637@axisbank Jio,Jio,Utilities
VPA vedantu.nkxc@icici VEDANTU,Vedantu,Education
VPA phonepe-8501168809@oksbi UPGRAD,upGrad,Education
VPA ajio.270s.lew@ybl AJIO,AJIO,Shopping
VPA gpay-3096520744@ibl JIOMART,JioMart,Groceries
VPA paytmqr2wwyj@paytm BIGBASKET,BigBasket,Groceries
VPA udemy.06882850@ibl UDEMY,Udemy,Education
VPA pvrcinemas.52371006@apl Pvr Cinemas,PVR Cinemas,Entertainment
VPA paytmqr5hsavka@ptys FRESHMENU,FreshMenu,Food
VPA phonepe-5342836440@icici NBC VIKHROLI,NBC Vikhroli,Food
VPA paytmqr8dtylo@ptys ZERODHA,Zerodha,Investment
VPA growwinves@rapl GROWW INVEST W,Groww Invest Tech,Investment
VPA paytmqr7qdcb@ptys SPICEJET,SpiceJet,Transport
VPA gpay-5905151864@axisbank DOMINOS,Dominos,Food
VPA paytm.lrumxq@pty BSNL,BSNL,Utilities
VPA shreya720@okhdfcbank Mr SHREYA GAFUR NAIR,SHREYA GAFUR NAIR,Transfer
VPA gpay-8427109477@axl Faasos,Faasos,Food
VPA io2695826rco@icici Dr GOPAL KUMAR PATIL,GOPAL KUMAR PATIL,Transfer
VPA paytmqr2wwwbmg@pthdfc Nature Basket,Nature Basket,Groceries
VPA haldirams.ipom@sbi HALDIRAMS,Haldirams,Food
VPA cred.1205464754895478@axb CRED,CRED,Payments
VPA bharatpe.ygwow7l7j7y96yg6@fbpe Dr NAINA MALHOTRA,NAINA MALHOTRA,Transfer
VPA hh6682121iqv@icici Ms DIVYA LAL SAXENA,DIVYA LAL SAXENA,Transfer
VPA paytmqr1ycxeci@ptys BSNL,BSNL,Utilities
VPA mk6081126uab@okaxis Mr GEETA KUMAR JADHAV,GEETA KUMAR JADHAV,Transfer
VPA gpay-3128196482@okaxis 1MG,1mg,Health
VPA paytm.rjklcp9u@pty Water Bill,Water Bill,Utilities
VPA spicejet.wdc1.tuf@axb SPICEJET,SpiceJet,Transport
VPA paytm.raxf5x@pty Ola,Ola,Transport
VPA actfiber.jygs.bke@icici ACT FIBERNET,ACT Fibernet,Utilities
VPA jiomart.ej31.eri@oksbi JIOMART,JioMart,Groceries
VPA paytm.xk3md6x7@ptys SONYLIV,SonyLIV,Subscription
VPA paytm.bprr7mza@pthdfc NEXT,Next Billion Technology,Investment
VPA growwinv.bqp@ybl Groww F,Groww Invest Tech,Investment
VPA 7175355609@axisbank NBC Vikhroli,NBC Vikhroli,Food
VPA upgrad.13695727@okicici UPGRAD,upGrad,Education
VPA paytm.laga24sm@ptybl REDBUS,RedBus,Transport
VPA gpay-3159996504@okbizaxis FOOD XPRESS,Food Xpress,Food
VPA suresh92@okbizaxis SURESH KUMAR SOLANKI,SURESH KUMAR SOLANKI,Transfer
VPA chautalagopal348@oksbi Dr GOPAL GAJENDRA CHAUTALA,GOPAL GAJENDRA CHAUTALA,Transfer
VPA paytmqr1spdnm@pty Paytm,Paytm,Payments
VPA paytm.q685ohm@pty COLLEGE FEES,College Fees,Education
VPA angelbro.roh@fbpe ANGEL BROKING,Angel Broking,Investment
VPA paytm.npf8r1pc@pthdfc NETFLIX,Netflix,Subscription
VPA paytmqr3lcnszu@ptys Amazon,Amazon,Shopping
VPA gpay-4084245607@ybl ACT FIBERNET,ACT Fibernet,Utilities
VPA cafecoff.ewl@ibl CAFE COFFEE DAY,Cafe Coffee Day,Food
VPA paytmqr3ghnwgu@pthdfc ACT Fibernet,ACT Fibernet,Utilities
VPA paytm.qb07g2r@ptys MAKEMYTRIP,MakeMyTrip,Transport
VPA paytm.dvn8lf@pthdfc Barbeque Nation,Barbeque Nation,Food
VPA phonepe-0461735743@ybl Uber,Uber,Transport
VPA paytm.a6pars@pty UBER,Uber,Transport
VPA 1214614768@sbi Apollo Pharmacy,Apollo Pharmacy,Health
VPA billdesk.3eio.gpx@okbizaxis BillDesk,BillDesk,Payments
VPA paytmqr2ejjp@pty HDFC SECURITIES,HDFC Securities,Investment
VPA faasos.24210249@icici FAASOS,Faasos,Food
VPA paytm.ve7b7p0@paytm Zepto,Zepto,Groceries
VPA paytm.nsel8mwo@ptys Medical Store,Medical Store,Health
VPA rituagar179-4@axisbank Dr RITU RAJU AGARWAL,RITU RAJU AGARWAL,Transfer
VPA paytm.cx2ek3ze@paytm DOMINOS,Dominos,Food
VPA paytmqr1covd@pty SONYLIV,SonyLIV,Subscription
VPA rohit399@sbi ROHIT RAVISHANKAR PATEL,ROHIT RAVISHANKAR PATEL,Transfer
VPA tu1962342cdy@oksbi Dr SIDDHARTH SHINDE,SIDDHARTH SHINDE,Transfer
VPA nq3698816hpa@ybl Mrs NEHA RAVISHANKAR SHETTY,NEHA RAVISHANKAR SHETTY,Transfer
VPA paytmqr5gfywi@paytm Swiggy,Swiggy,Food
VPA paytmqr7bjqsou@pty REDBUS,RedBus,Transport
VPA bharatpe.o082sfr23c60cjbm@fbpe Ms MANISH LAL AGARWAL,MANISH LAL AGARWAL,Transfer
VPA paytm.itx8j1@ptys PAYTM,Paytm,Payments
VPA spicejet@fbpe SPICEJET,SpiceJet,Transport
VPA paytmqr3sukjns@pthdfc Myntra,Myntra,Shopping
VPA paytm.fob7p7o0@paytm 1mg,1mg,Health
VPA cred.99927517@sbi CRED,CRED,Payments
VPA medplus.qyf@okicici MEDPLUS,MedPlus,Health
VPA 1643167045@oksbi MPL,MPL,Entertainment
VPA eatclub@validhdfc EATCLUB,EatClub,Food
VPA medplus@axisbank MEDPLUS,MedPlus,Health
VPA paytm.vaiaw4@paytm VEDANTU,Vedantu,Education
VPA paytmqr0sznp@pthdfc Dominos,Dominos,Food
VPA paytm.cdz53x1f@ptybl Jio Cinema,Jio Cinema,Subscription
VPA paytmqr0tlrxlz@ptys PAYTM,Paytm,Payments
VPA paytmqr8jlod@ptybl Amazon,Amazon,Shopping
VPA phonepe-4527111161@axisbank MCDONALDS,McDonalds,Food
VPA upstox.8914161284639855@hdfcbank UPSTOX,Upstox,Investment
VPA starbuck.rh8l.qxc@okbizaxis STARBUCKS,Starbucks,Food
VPA udemy.6834527346666170@axb Udemy,Udemy,Education
VPA bharatpe.vqr2c23ag9xc5rex@fbpe SHREYA KUMAR JOSHI,SHREYA KUMAR JOSHI,Transfer
VPA 7158102131@axl SCHOOL FEES,School Fees,Education
VPA paytm.ti4fie@pty AIR INDIA,Air India,Transport
VPA paytmqr7jcwn@pty PHONEPE,PhonePe,Payments
VPA gpay-2050150812@okbizaxis HDFC SECURITIES,HDFC Securities,Investment
VPA bsnl.gma@okaxis BSNL,BSNL,Utilities
VPA gpay-0276773592@axisbank BURGER KING,Burger King,Food
VPA ch6902837mlw@hdfcbank Ms SUNITA AJAYKUMAR CHAUHAN,SUNITA AJAYKUMAR CHAUHAN,Transfer
VPA az3486883pwd@ybl Dr SUNITA SAXENA,SUNITA SAXENA,Transfer
VPA paytm.jwbabq0@pty WINZO,WinZo,Entertainment
VPA byjus.miqv@fbpe BYJUS,Byjus,Education
VPA paytm.b5rlqio@ptys Reliance Digital,Reliance Digital,Shopping
VPA gpay-1959796471@hdfcbank IndiGo,IndiGo,Transport
VPA schoolfees.66525483@axb SCHOOL FEES,School Fees,Education
VPA paytm.e2c9ros@paytm MISAL RESTAURANT,Misal Restaurant,Food
VPA mutualfund.zrqs@axb MUTUAL FUNDS ICCL,Mutual Funds ICCL,Investment
VPA bharatpe.fvu3f0mee0q45tvg@fbpe Ms SHREYA DILIP DESAI,SHREYA DILIP DESAI,Transfer
VPA paytmqr2aqtcm@pty PHONEPE,PhonePe,Payments
VPA paytmqr3rlwbg@ptybl UPGRAD,upGrad,Education
VPA phonepe-8768316082@pthdfc Ms SAJAHAN DILIP SINGH,SAJAHAN DILIP SINGH,Transfer
VPA 8953263890@okicici RAZORPAY,Razorpay,Payments
VPA bharatpe.afpp7sdwyqtuv27u@fbpe Mrs MONIKA GAJENDRA SHARMA,MONIKA GAJENDRA SHARMA,Transfer
VPA paytm.wyqbvt@ptys INOX,INOX,Entertainment
VPA paytm.iwo6cmlx@pthdfc Ajio,AJIO,Shopping
VPA af8507659lqh@okhdfcbank RAHUL SINGH MISHRA,RAHUL SINGH MISHRA,Transfer
VPA paytm.yzkhiuit@pthdfc NBC VIKHROLI,NBC Vikhroli,Food
VPA rb1963045sfk@okaxis Dr SURESH GUPTA,SURESH GUPTA,Transfer
VPA bigbasket@okbizaxis BIGBASKET,BigBasket,Groceries
VPA paytmqr1htej@pty IRCTC,IRCTC,Transport
VPA 9389701550@icici ACT Fibernet,ACT Fibernet,Utilities
VPA paytm.ye00h2k2@paytm PHONEPE,PhonePe,Payments
VPA coursera@fbpe COURSERA,Coursera,Education
VPA paytm.inmmjb@paytm Swiggy,Swiggy,Food
VPA dominos.5271774490581477@okicici Dominos,Dominos,Food
VPA gpay-9045301742@sbi CAFE COFFEE DAY,Cafe Coffee Day,Food
VPA paytmqr8fsjvuf@ptybl BSNL,BSNL,Utilities
VPA jio.41118600@rapl JIO,Jio,Utilities
VPA phonepe-4056829962@okicici Uber,Uber,Transport
VPA paytmqr8ejdj@ptys APPLE MEDIA SERVICES,Apple Media Services,Subscription
VPA phonepe-0229604432@okbizaxis ZERODHA,Zerodha,Investment
VPA by6302955tsk@ibl Mrs SACHIN PANDEY,SACHIN PANDEY,Transfer
VPA ex5759582ytv@okhdfcbank REKHA SHETTY,REKHA SHETTY,Transfer
VPA jio.aqra@okaxis JIO,Jio,Utilities
VPA bherusola820-4@okaxis Mrs BHERU RAJU SOLANKI,BHERU RAJU SOLANKI,Transfer
VPA paytm.ozv3iu@ptys Paytm,Paytm,Payments
VPA paytm.dv1l1vj3@ptybl AIRTEL,Airtel,Utilities
VPA kfc.slxi@ybl Kfc,KFC,Food
VPA flipkart.mmpn@ybl Flipkart,Flipkart,Shopping
VPA phonepe-6037681187@ybl TARUN SINGH MEHTA,TARUN SINGH MEHTA,Transfer
VPA airindia.xbh@okhdfcbank AIR INDIA,Air India,Transport
VPA gpay-7435748352@ptybl Mrs MONIKA RAMESH KULKARNI,MONIKA RAMESH KULKARNI,Transfer
VPA 0898992172@okaxis BIGBASKET,BigBasket,Groceries
VPA bookmysh.tht@okbizaxis BOOKMYSHOW,BookMyShow,Entertainment
VPA starbucks.40049915@icici STARBUCKS,Starbucks,Food
VPA anita8857@ibl Mr ANITA SINGH YADAV,ANITA SINGH YADAV,Transfer
VPA jio.30448360@rapl Jio,Jio,Utilities
VPA paytm.i72ugl@pthdfc UBER,Uber,Transport
VPA paytmqr9wirysn@pty Practo,Practo,Health
VPA paytm.tfwvvs@pthdfc Paytm,Paytm,Payments
VPA redbus.89319508@axisbank Redbus,RedBus,Transport
VPA flipkart@apl FLIPKART,Flipkart,Shopping
VPA paytm.c4yfds@ptys MILKBASKET,Milkbasket,Groceries
VPA axismutual@validhdfc Axis Mutual Fund,Axis Mutual Fund,Investment
VPA paytm.kwct8jbb@ptybl ELECTRICITY,Electricity Bill,Utilities
VPA paytmqr3dozss@ptys PAYTM,Paytm,Payments
VPA bharatpe.gxaplird70gkjfp0@fbpe Mrs RAJESH SHAH,RAJESH SHAH,Transfer
VPA paytm.o97y2l@paytm Nbc Vikhroli,NBC Vikhroli,Food
VPA nykaa.yest@rapl Nykaa,Nykaa,Shopping
VPA starbucks@okhdfcbank Starbucks,Starbucks,Food
VPA dunzo@validicici DUNZO,Dunzo,Food
VPA phonepe-6707660464@sbi TATA SKY,Tata Sky,Utilities
VPA kuvera@sbi KUVERA,Kuvera,Investment
VPA paytm.qqw5dsk@pthdfc Haldirams,Haldirams,Food
VPA phonepe-9721540641@okbizaxis UNACADEMY,Unacademy,Education
VPA paytmqr4uojb@pty COURSERA,Coursera,Education
VPA paytmqr1yrapi@pthdfc MOBIKWIK,MobiKwik,Payments
VPA upstox.6149872839992192@oksbi UPSTOX,Upstox,Investment
VPA dominos.ii82.xfr@validicici Dominos,Dominos,Food
VPA myntra.i8qo.aen@rapl MYNTRA,Myntra,Shopping
VPA phonepe-8450615939@sbi AJIO,AJIO,Shopping
VPA bharatpe.pjx0wuzllgyg4f4d@fbpe Dr SONIA RAMESH MISHRA,SONIA RAMESH MISHRA,Transfer
VPA 1563268685@okbizaxis MedPlus,MedPlus,Health
VPA paytmqr1mgkt@pty MOBIKWIK,MobiKwik,Payments
VPA bharatpe.ip35t54gylbi18a2@fbpe Ms SURESH DILIP SOLANKI,SURESH DILIP SOLANKI,Transfer
VPA paytmqr0ffihvr@pthdfc SBI MUTUAL FUND,SBI Mutual Fund,Investment
VPA me4644936ryo@axl Dr SIDDHARTH CHAUTALA,SIDDHARTH CHAUTALA,Transfer
VPA paytmqr4jlxgvy@ptybl Groww Invest Tech,Groww Invest Tech,Investment
VPA paytmqr9ouymi@ptybl PHONEPE,PhonePe,Payments
VPA gpay-2716938597@okbizaxis ICICI PRUDENTIAL,ICICI Prudential,Investment
VPA paytm.czdfkblc@pthdfc FRESHMENU,FreshMenu,Food
VPA schoolfe.zyo@sbi SCHOOL FEES,School Fees,Education
VPA sonyliv.3668788788361968@okbizaxis SONYLIV,SonyLIV,Subscription
VPA paytm.wstn7e@ptybl Cafe Coffee Day,Cafe Coffee Day,Food
VPA airtel.e9z5.hix@axl AIRTEL,Airtel,Utilities
VPA yi3584640zza@sbi Mr NIKHIL SINGH JAIN,NIKHIL SINGH JAIN,Transfer
VPA paytm.lxpa95@pty MEDPLUS,MedPlus,Health
VPA zv6502000ehq@icici Mrs RAJESH LAL ANSARI,RAJESH LAL ANSARI,Transfer
VPA zerodha.81377028@axisbank Zerodha,Zerodha,Investment
VPA vedantu.83541165@axb VEDANTU,Vedantu,Education
VPA paytmqr0yijh@pthdfc SPOTIFY,Spotify,Subscription
VPA bookmysh.wmm@validicici BOOKMYSHOW,BookMyShow,Entertainment
VPA gpay-7074436023@icici Mr ARNAV SINGH GAWAND,ARNAV SINGH GAWAND,Transfer
VPA 4902504290@icici Water Bill,Water Bill,Utilities
VPA paytm.cp9w4j66@ptys DMART,DMart,Groceries
VPA paytm.af34jgv@paytm PAYTM,Paytm,Payments
VPA gasbill.kn18.byw@ibl GAS BILL,Gas Bill,Utilities
VPA dumanesures5421@hdfcbank Ms SURESH LAL DUMANE,SURESH LAL DUMANE,Transfer
VPA paytm.rszhrk@ptys Medical Store,Medical Store,Health
VPA phonepe-7232487632@axisbank Makemytrip,MakeMyTrip,Transport
VPA yadavsures277@sbi Ms SURESH RAVISHANKAR YADAV,SURESH RAVISHANKAR YADAV,Transfer
VPA upstox.zlb@okbizaxis Upstox,Upstox,Investment
VPA bharatpe.tk5ezs96kw0pn524@fbpe ADITYA KUMAR REDDY,ADITYA KUMAR REDDY,Transfer
VPA paytm.t9x798@ptybl Apple Media Services,Apple Media Services,Subscription
VPA mn3318361wbf@sbi Mr NIKHIL RAJU TIWARI,NIKHIL RAJU TIWARI,Transfer
VPA paytm.skuo4j@pty BSNL,BSNL,Utilities
VPA gpay-6043878753@okbizaxis AIRTEL,Airtel,Utilities
VPA makemytrip.17731806@ibl MAKEMYTRIP,MakeMyTrip,Transport
VPA paytmqr4rblzu@pthdfc RAPIDO,Rapido,Transport
VPA paytm.lzw9xa3k@ptys ZOMATO,Zomato,Food
VPA phonepe@icici PHONEPE,PhonePe,Payments
VPA eatclub.48734714@okbizaxis Eatclub,EatClub,Food
VPA bsnl@okbizaxis BSNL,BSNL,Utilities
VPA yp4494667dbb@oksbi Dr ADITYA RAVISHANKAR PATEL,ADITYA RAVISHANKAR PATEL,Transfer
VPA dmart.dpt@okaxis DMART,DMart,Groceries
VPA oe5381097siy@oksbi Dr VIKRAM KUMAR KUMAR,VIKRAM KUMAR KUMAR,Transfer
VPA bharatpe.5x3x10y14dsf2uwu@fbpe Dr NIKHIL DILIP PANDEY,NIKHIL DILIP PANDEY,Transfer
VPA byjus.40148439@oksbi BYJUS,Byjus,Education
VPA gpay-9177682938@icici MANISH KUMAR DESAI,MANISH KUMAR DESAI,Transfer
VPA paytmqr9hzuus@ptybl UDEMY,Udemy,Education
VPA paytm.ma6qs0s@ptys Axis Mutual Fund,Axis Mutual Fund,Investment
VPA bharatpe.63x5ulzzix2soth4@fbpe Mr SUNITA GAFUR SHARMA,SUNITA GAFUR SHARMA,Transfer
VPA 6111457683@okicici CRED,CRED,Payments
VPA pm8299687sev@axl DEEPAK GUPTA,DEEPAK GUPTA,Transfer
VPA paytm.h8h5r8m@paytm NETFLIX,Netflix,Subscription
VPA pvrcinemas.ywns@rapl PVR CINEMAS,PVR Cinemas,Entertainment
VPA bookmyshow.32998199@validhdfc Bookmyshow,BookMyShow,Entertainment
VPA paytm.ubh25ll@paytm SUBWAY,Subway,Food
VPA paytmqr2dluzv@ptys Sonyliv,SonyLIV,Subscription
VPA arnavkulk981-3@oksbi Dr ARNAV LAL KULKARNI,ARNAV LAL KULKARNI,Transfer
VPA flipkart.pex@okicici Flipkart,Flipkart,Shopping
VPA paytm.e5em2vaj@pty KFC,KFC,Food
VPA eatclub.airk@axl EATCLUB,EatClub,Food
VPA kapoorpreeti200@axisbank Dr PREETI AJAYKUMAR KAPOOR,PREETI AJAYKUMAR KAPOOR,Transfer
VPA paytmqr2wcay@ptybl Irctc,IRCTC,Transport
VPA coursera.rca@apl Coursera,Coursera,Education
VPA mcdonalds.98094024@icici McDonalds,McDonalds,Food
VPA paytm.d2bd2fm@paytm Tata Sky,Tata Sky,Utilities
VPA paytmqr3fkry@ptys Zepto,Zepto,Groceries
VPA paytmqr9eqbobg@pty FLIPKART,Flipkart,Shopping
VPA myntra.1o2r.jog@icici Myntra,Myntra,Shopping
VPA rc6505871rkd@okicici Mrs MUKHTAR LAL CHAUHAN,MUKHTAR LAL CHAUHAN,Transfer
VPA gpay-7147082723@icici APOLLO PHARMACY,Apollo Pharmacy,Health
VPA phonepe-3149501364@okbizaxis AXIS MUTUAL A,Axis Mutual Fund,Investment
VPA paytm.yj9uu2@ptys JIO CINEMA,Jio Cinema,Subscription
VPA phonepe-9885165604@ybl MCDONALDS,McDonalds,Food
VPA paytm.w2nq52nl@paytm COLLEGE FEES,College Fees,Education
VPA paytmqr0tammup@paytm Croma,Croma,Shopping
VPA box8.5940139904902787@hdfcbank Box8,Box8,Food
VPA paytm.j1utoxi@ptys SUBWAY,Subway,Food
VPA paytm.il1n13j@ptys DUNZO,Dunzo,Food
VPA bharatpe.cmotbmrlcre8ua2h@fbpe Dr YASH GAFUR SAXENA,YASH GAFUR SAXENA,Transfer
VPA jio.61275156@ybl JIO,Jio,Utilities
VPA mobikwik.38ef.dzp@okhdfcbank MOBIKWIK,MobiKwik,Payments
VPA xy4966834ylg@hdfcbank Mrs SUNITA KULKARNI,SUNITA KULKARNI,Transfer
VPA phonepe-8669296627@hdfcbank Hotel,Hotel Shiv Sagar,Food
VPA malhotraraj169@okicici RAJESH GAJENDRA MALHOTRA,RAJESH GAJENDRA MALHOTRA,Transfer
VPA gpay-4021557325@okaxis DREAM11,Dream11,Entertainment
VPA makemytr.8373403127722005@icici Makemytrip,MakeMyTrip,Transport
VPA paytmqr3oiyjv@ptys Groww,Groww,Investment
VPA paytmqr6ngzqm@ptybl BLINKIT,Blinkit,Groceries
VPA anjalirao578-1@axisbank ANJALI RAO,ANJALI RAO,Transfer
VPA swiggy.ssk@validicici SWIGGY,Swiggy,Food
VPA cafecoffee@okbizaxis CAFE COFFEE DAY,Cafe Coffee Day,Food
VPA paytm.dcivuqt@ptys INOX,INOX,Entertainment
VPA rc2451091zpv@okaxis Ms ANITA KUMAR VERMA,ANITA KUMAR VERMA,Transfer
VPA gpay-8820908830@okhdfcbank GAS BILL,Gas Bill,Utilities
VPA paytm.pqaelyyz@paytm GROWW INVEST TECH,Groww Invest Tech,Investment
VPA phonepe-9480831367@okaxis DUNZO,Dunzo,Food
VPA starbucks.xdnh@okaxis STARBUCKS,Starbucks,Food
VPA phonepe-3107201137@axisbank Google Pay,Google Pay,Payments
VPA flipkart.mdp@okhdfcbank Flipkart,Flipkart,Shopping
VPA disneyho.1u24.sle@ybl DISNEY HOTSTAR,Disney Hotstar,Subscription
VPA bharatpe.ejaxvt7cz14wjai9@fbpe NEHA KUMAR NAIK,NEHA KUMAR NAIK,Transfer
VPA spotify.8366552899316087@sbi SPOTIFY,Spotify,Subscription
VPA lb0805491glh@okaxis Dr NEHA GAJENDRA REDDY,NEHA GAJENDRA REDDY,Transfer
VPA paytm.j57ly7@pty BSNL,BSNL,Utilities
VPA agarwallat339@ibl Dr LATA RAVISHANKAR AGARWAL,LATA RAVISHANKAR AGARWAL,Transfer
VPA bigbaske.ef82.yqe@rapl BIGBASKET,BigBasket,Groceries
VPA 9473721329@oksbi Mrs SNEHA AJAYKUMAR MISHRA,SNEHA AJAYKUMAR MISHRA,Transfer
VPA swiggy.99737631@okaxis SWIGGY,Swiggy,Food
VPA groww@ibl Groww,Groww,Investment
VPA paytmqr5isoq@pthdfc PHONEPE,PhonePe,Payments
VPA jk3840911ein@axisbank Mr HARISH RAMESH KAPOOR,HARISH RAMESH KAPOOR,Transfer
VPA paytm.oktlzkj4@ptys Haldirams,Haldirams,Food
VPA paytmqr3dqqziy@ptybl Amazon Prime,Amazon Prime,Subscription
VPA paytm.x8d2vfh@paytm Pharmeasy,PharmEasy,Health
VPA medicals.dpn@okicici Medical Store,Medical Store,Health
VPA gpay-0255905616@axl GROWW,Groww,Investment
VPA bharatpe.8kgfp94k3awlar0w@fbpe Ms ARJUN AGARWAL,ARJUN AGARWAL,Transfer
VPA bharatpe.fc1yuzpex7tv7hrb@fbpe Mr KRRISH SINGH MISHRA,KRRISH SINGH MISHRA,Transfer
VPA phonepe-9690784473@ibl BURGER KING,Burger King,Food
VPA bigbaske.fqz@axb BIGBASKET,BigBasket,Groceries
VPA spicejet.voat@validhdfc SPICEJET,SpiceJet,Transport
VPA spotify.wytp@sbi Spotify,Spotify,Subscription
VPA pizzahut.hhy@icici PIZZA HUT,Pizza Hut,Food
VPA hdfcsecuri.ryzz@validhdfc HDFC SECURITIES,HDFC Securities,Investment
VPA paytmqr7dkqice@ptybl GROWW INVEST TECH,Groww Invest Tech,Investment
VPA bharatpe.vmtd503779u7c1a7@fbpe Dr VARUN VERMA,VARUN VERMA,Transfer
VPA paytmqr7pjcecq@ptys Meesho,Meesho,Shopping
VPA paytm.jo3z0an@pty 1mg,1mg,Health
VPA phonepe-1647525534@sbi Swiggy,Swiggy,Food
VPA eo0908551bqi@okhdfcbank Ms RITU AJAYKUMAR RAO,RITU AJAYKUMAR RAO,Transfer
VPA freshmenu.qlrx@validicici FRESHMENU,FreshMenu,Food
VPA inox.e1ga.xnm@axl INOX,INOX,Entertainment
VPA jn4732365ery@okaxis Ms MANOJ RAMESH SHAH,MANOJ RAMESH SHAH,Transfer
VPA phonepe-7725228728@okhdfcbank Food Xpress,Food Xpress,Food
VPA sbimutualf.lojp@ybl SBI MUTUAL FUND,SBI Mutual Fund,Investment
VPA globalmedi@okicici Global Medical,Global Medical,Health
VPA phonepe-2066154980@sbi Dr KAVYA AJAYKUMAR MISHRA,KAVYA AJAYKUMAR MISHRA,Transfer
VPA phonepe-3377731268@sbi CRED,CRED,Payments
VPA bharatpe.7v7jmkjlnditn5kg@fbpe Mr SUNITA GAFUR DUMANE,SUNITA GAFUR DUMANE,Transfer
VPA gpay-3044881898@icici Mrs SIDDHARTH SHAH,SIDDHARTH SHAH,Transfer
VPA gpay-2588153714@okaxis Burger King,Burger King,Food
VPA razorpay.xvj@fbpe Razorpay,Razorpay,Payments
VPA gpay-5055738573@okhdfcbank ROHIT RAVISHANKAR DUMANE,ROHIT RAVISHANKAR DUMANE,Transfer
VPA kuvera@okhdfcbank KUVERA,Kuvera,Investment
VPA paytm.oi4e8x@pty BOX8,Box8,Food
VPA cred.60858167@okicici CRED,CRED,Payments
VPA paytm.te6xfwz@ptys MEDICAL STORE,Medical Store,Health
VPA starbuck.kvy@okicici Starbucks,Starbucks,Food
VPA phonepe-5093869484@ybl Mrs ARNAV GAJENDRA PATEL,ARNAV GAJENDRA PATEL,Transfer
VPA airindia.ebvm@axisbank Air India,Air India,Transport
VPA paytmqr0fcap@ptys NBC VIKHROLI,NBC Vikhroli,Food
VPA gpay-3034414488@okhdfcbank UBER,Uber,Transport
VPA paytm.xftq9y6@ptys SCHOOL FEES,School Fees,Education
VPA phonepe-1010232001@ptybl Mrs LATA DILIP CHAUTALA,LATA DILIP CHAUTALA,Transfer
VPA gpay-2614543079@okbizaxis NIKHIL RAMESH SOLANKI,NIKHIL RAMESH SOLANKI,Transfer
VPA paytm.bv4ykad@pty PIZZA HUT,Pizza Hut,Food
VPA paytm.gi3hz3zs@pty APPLE MEDIA SERVICES,Apple Media Services,Subscription
VPA gpay-3259367813@pthdfc Ms SWATI SINGH REDDY,SWATI SINGH REDDY,Transfer
VPA dunzo.sltz@hdfcbank Dunzo,Dunzo,Food
VPA phonepe-0228403595@ybl PVR CINEMAS,PVR Cinemas,Entertainment
VPA paytm.ow7opi@ptys AXIS MUTUAL FUND,Axis Mutual Fund,Investment
VPA xk3342720evo@sbi REKHA GAWAND,REKHA GAWAND,Transfer
VPA razorpay.6uml.vnk@hdfcbank RAZORPAY,Razorpay,Payments
VPA actfiber.diy@hdfcbank ACT Fibernet,ACT Fibernet,Utilities
VPA snapdeal.3206799813646225@oksbi SNAPDEAL,Snapdeal,Shopping
VPA paytm.w0j4a8yw@ptybl Upstox,Upstox,Investment
VPA paytm.adlctt05@ptys INOX,INOX,Entertainment
VPA 7933554864@okicici REDBUS,RedBus,Transport
VPA 1mg.s3y4.fuo@okaxis 1MG,1mg,Health
VPA airtel@okicici Airtel,Airtel,Utilities
VPA paytmqr4emoxf@paytm Indigo,IndiGo,Transport
VPA sg9534811aad@ybl Dr RITU CHAUTALA,RITU CHAUTALA,Transfer
